date,stock,close,kno,w,h,e,n,rd,pct
02/11/2014,BDX,112.99,311,4,4,2,1,D,52
02/13/2014,VNO,95.43,311,2,4,4,1,D,52
02/13/2014,WAG,66.39,311,1,2,1,1,D,92
02/14/2014,LMT,162.89,311,1,2,3,1,D,75
02/14/2014,ORLY,154.81,311,1,1,3,1,D,83
02/18/2014,ACT,201.47,311,1,2,3,1,D,75
02/18/2014,IFF,92.54,311,1,2,3,1,D,75
02/18/2014,NI,35.30,311,3,3,4,1,D,47
02/20/2014,COL,80.98,311,1,3,2,1,D,75
02/21/2014,MAR,52.51,311,3,3,3,1,D,50
02/28/2014,EBAY,58.77,311,1,3,1,1,D,83
03/04/2014,VMC,69.01,311,2,2,4,1,D,63
03/07/2014,ESRX,78.30,311,1,3,4,1,D,63
03/07/2014,WFC,47.95,311,1,3,3,1,D,67
03/10/2014,FITB,22.70,311,1,3,3,1,D,67
03/18/2014,FTR,5.18,311,1,3,0,1,D,60
03/20/2014,PNC,86.63,311,4,2,1,1,D,72
03/20/2014,SWN,45.65,311,2,2,1,1,D,83
03/21/2014,BBT,40.19,311,4,3,3,1,D,47
03/21/2014,MTB,121.13,311,4,3,3,1,D,47
03/24/2014,BK,35.58,311,2,2,1,1,D,83
03/24/2014,NBR,24.04,311,1,1,2,1,D,92
03/24/2014,USB,43.32,311,2,3,3,1,D,58
03/25/2014,EIX,54.36,311,2,2,0,1,D,60
03/28/2014,EOG,197.16,311,4,3,3,1,D,47
03/28/2014,NRG,31.55,311,1,2,3,5,D,75
03/31/2014,FTR,5.71,311,1,1,4,1,D,80
04/01/2014,IFF,96.41,311,1,3,2,1,D,75
04/02/2014,APH,94.00,311,4,4,2,1,D,52
04/02/2014,DE,91.90,311,1,2,1,1,D,92
04/02/2014,HST,20.66,311,4,3,3,1,D,47
04/02/2014,WDC,94.14,311,1,4,4,1,D,60
04/15/2014,NU,46.32,311,1,4,3,1,D,63
04/16/2014,MAC,66.08,311,1,2,1,1,D,92
04/17/2014,COP,74.77,311,1,1,2,1,D,92
04/21/2014,FTR,5.90,311,2,2,1,1,D,83
04/21/2014,HES,87.78,311,1,3,3,1,D,67
04/22/2014,ITW,85.11,311,4,3,3,1,D,47
04/25/2014,GAS,52.47,311,3,1,0,1,D,60
04/25/2014,NRG,33.16,311,1,3,5,1,D,60
04/25/2014,TE,18.38,311,1,1,0,1,D,80
04/28/2014,SO,46.68,311,1,1,2,1,D,92
04/30/2014,IFF,98.52,311,1,3,3,1,D,67
05/02/2014,MAR,59.09,311,1,3,3,1,D,67
05/06/2014,COP,77.08,311,2,1,3,1,D,75
05/15/2014,CTL,37.83,311,1,2,4,1,D,72
05/15/2014,WMB,45.45,311,1,2,3,1,D,75
05/19/2014,TAP,64.96,311,3,2,4,1,D,55
05/27/2014,DLPH,70.40,311,1,4,4,1,D,60
05/27/2014,NRG,35.31,311,1,3,3,1,D,67
05/29/2014,SIAL,98.55,311,2,3,1,1,D,75
05/30/2014,MON,121.85,311,3,3,0,1,D,40
06/02/2014,MJN,89.68,311,1,5,4,1,D,57
06/05/2014,AVB,144.41,311,3,3,3,1,D,50
06/05/2014,CFN,43.72,311,3,2,3,1,D,58
06/05/2014,HST,22.72,311,1,3,3,1,D,67
06/06/2014,AXP,94.91,311,1,3,3,1,D,67
06/06/2014,CMI,159.06,311,1,3,2,1,D,75
06/09/2014,HSP,51.00,311,1,1,1,1,D,100
06/09/2014,MCHP,49.30,311,1,4,5,1,D,57
06/09/2014,R,88.52,311,1,4,0,1,D,56
06/09/2014,TEL,62.14,311,1,4,3,1,D,63
06/09/2014,WFC,52.51,311,1,3,5,1,D,60
06/10/2014,IR,62.96,311,2,3,3,1,D,58
06/11/2014,HES,95.31,311,2,2,3,1,D,67
06/11/2014,MO,42.59,311,4,3,3,1,D,47
06/11/2014,TAP,72.07,311,1,1,2,1,D,92
06/12/2014,COP,82.86,311,4,2,2,1,D,63
